 &plot nbnd= 100, nks=   100 /
            0.000000  0.000000  0.000000
   -3.788   -3.758   -3.479   -3.395   -3.352   -3.289   -3.137   -3.002   -2.948   -2.943
   -2.819   -2.804   -2.544   -2.529   -2.509   -2.466   -2.396   -2.321   -2.321   -2.280
   -2.263   -2.228   -2.125   -2.091   -1.535   -1.207   -1.206   -1.099    0.184    0.185
    0.997    0.999    1.272    1.312    1.373    1.387    1.443    1.477    1.561    1.571
    1.650    1.672    1.850    1.859    2.016    2.027    2.201    2.223    2.380    2.559
            0.084286 -0.048663  0.000000
  -15.608  -14.441  -14.392  -14.340  -14.271  -14.144  -14.077  -13.916  -13.702  -13.687
  -13.627  -13.542  -13.499  -13.332  -13.267  -13.096  -12.997   -7.058   -6.906   -6.864
   -6.858   -6.760   -6.727   -6.623   -6.539   -6.498   -6.108   -6.099   -5.887   -5.745
   -5.690   -5.581   -5.574   -5.526   -5.371   -5.365   -5.322   -5.239   -5.239   -5.062
   -4.942   -4.928   -4.834   -4.464   -4.381   -4.346   -4.088   -3.988   -3.975   -3.907
   -3.797   -3.754   -3.479   -3.397   -3.368   -3.281   -3.131   -3.009   -2.940   -2.935
   -2.810   -2.794   -2.567   -2.548   -2.524   -2.472   -2.411   -2.319   -2.314   -2.267
   -2.251   -2.213   -2.115   -2.074   -1.534   -1.214   -1.214   -1.102    0.187    0.188
    1.005    1.008    1.255    1.297    1.369    1.387    1.442    1.490    1.572    1.575
    1.666    1.682    1.851    1.863    2.016    2.033    2.192    2.223    2.365    2.545
            0.098334 -0.056773  0.000000
  -15.604  -14.452  -14.408  -14.352  -14.276  -14.128  -14.055  -13.907  -13.713  -13.693
  -13.629  -13.534  -13.485  -13.333  -13.271  -13.099  -13.000   -7.053   -6.924   -6.861
   -6.861   -6.763   -6.729   -6.615   -6.534   -6.484   -6.138   -6.126   -5.906   -5.757
   -5.698   -5.560   -5.548   -5.496   -5.359   -5.355   -5.316   -5.237   -5.237   -5.064
   -4.939   -4.919   -4.825   -4.470   -4.388   -4.342   -4.106   -4.001   -3.985   -3.901
   -3.808   -3.748   -3.480   -3.398   -3.385   -3.272   -3.125   -3.016   -2.932   -2.928
   -2.801   -2.784   -2.592   -2.568   -2.541   -2.477   -2.431   -2.314   -2.307   -2.253
   -2.237   -2.198   -2.104   -2.056   -1.533   -1.223   -1.222   -1.106    0.189    0.191
    1.014    1.017    1.238    1.283    1.365    1.386    1.440    1.503    1.580    1.587
    1.682    1.692    1.852    1.868    2.017    2.040    2.182    2.223    2.349    2.530
            0.112381 -0.064883  0.000000
  -15.599  -14.472  -14.414  -14.363  -14.281  -14.112  -14.034  -13.897  -13.724  -13.698
  -13.631  -13.526  -13.472  -13.333  -13.275  -13.101  -13.003   -7.049   -6.944   -6.862
   -6.858   -6.767   -6.732   -6.606   -6.528   -6.470   -6.168   -6.154   -5.926   -5.769
   -5.707   -5.541   -5.521   -5.465   -5.347   -5.346   -5.307   -5.236   -5.235   -5.065
   -4.935   -4.908   -4.814   -4.475   -4.396   -4.338   -4.124   -4.016   -3.997   -3.896
   -3.821   -3.742   -3.482   -3.404   -3.399   -3.263   -3.119   -3.021   -2.923   -2.921
   -2.789   -2.775   -2.617   -2.589   -2.558   -2.480   -2.453   -2.308   -2.299   -2.238
   -2.222   -2.182   -2.092   -2.038   -1.532   -1.232   -1.232   -1.110    0.193    0.194
    1.024    1.028    1.221    1.269    1.360    1.385    1.436    1.515    1.586    1.605
    1.698    1.704    1.853    1.874    2.018    2.048    2.172    2.224    2.331    2.512
            0.126429 -0.072994  0.000000
  -15.593  -14.497  -14.416  -14.375  -14.286  -14.095  -14.013  -13.888  -13.735  -13.703
  -13.631  -13.518  -13.459  -13.333  -13.280  -13.104  -13.007   -7.043   -6.964   -6.863
   -6.855   -6.770   -6.734   -6.597   -6.522   -6.458   -6.198   -6.180   -5.946   -5.781
   -5.717   -5.524   -5.495   -5.434   -5.341   -5.332   -5.295   -5.234   -5.231   -5.067
   -4.931   -4.896   -4.800   -4.481   -4.404   -4.334   -4.143   -4.032   -4.009   -3.893
   -3.835   -3.734   -3.485   -3.423   -3.400   -3.253   -3.115   -3.025   -2.915   -2.913
   -2.777   -2.768   -2.642   -2.610   -2.576   -2.481   -2.476   -2.301   -2.291   -2.223
   -2.206   -2.167   -2.078   -2.020   -1.530   -1.243   -1.242   -1.114    0.196    0.198
    1.034    1.039    1.205    1.256    1.356    1.384    1.432    1.527    1.592    1.624
    1.715    1.717    1.854    1.880    2.018    2.057    2.160    2.224    2.312    2.494
            0.140477 -0.081104  0.000000
  -15.587  -14.524  -14.415  -14.387  -14.291  -14.078  -13.994  -13.878  -13.745  -13.709
  -13.631  -13.509  -13.447  -13.334  -13.286  -13.108  -13.010   -7.038   -6.984   -6.864
   -6.853   -6.771   -6.736   -6.587   -6.516   -6.446   -6.228   -6.207   -5.967   -5.792
   -5.727   -5.507   -5.469   -5.403   -5.336   -5.318   -5.281   -5.231   -5.225   -5.068
   -4.927   -4.882   -4.785   -4.487   -4.413   -4.331   -4.162   -4.049   -4.023   -3.891
   -3.851   -3.724   -3.490   -3.442   -3.399   -3.243   -3.113   -3.028   -2.909   -2.903
   -2.766   -2.763   -2.666   -2.630   -2.596   -2.501   -2.481   -2.294   -2.282   -2.208
   -2.191   -2.152   -2.063   -2.003   -1.529   -1.255   -1.253   -1.119    0.199    0.202
    1.045    1.051    1.189    1.244    1.352    1.383    1.428    1.538    1.599    1.643
    1.731    1.732    1.855    1.887    2.018    2.066    2.148    2.225    2.293    2.474
            0.154524 -0.089215  0.000000
  -15.580  -14.551  -14.414  -14.398  -14.295  -14.061  -13.975  -13.871  -13.752  -13.714
  -13.631  -13.499  -13.435  -13.334  -13.292  -13.111  -13.015   -7.035   -7.002   -6.865
   -6.852   -6.772   -6.738   -6.577   -6.511   -6.436   -6.257   -6.232   -5.987   -5.804
   -5.738   -5.491   -5.444   -5.376   -5.332   -5.304   -5.266   -5.228   -5.217   -5.068
   -4.923   -4.866   -4.767   -4.491   -4.422   -4.328   -4.181   -4.066   -4.038   -3.890
   -3.868   -3.713   -3.499   -3.459   -3.398   -3.232   -3.111   -3.029   -2.904   -2.893
